date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:51:18	79/79	---M--	200	added ('OK')	text/plain	etag:%22406d-4f-49ea1f473ddc0%22	http://www.stanford.edu/robots.txt		(from )
22:51:19	6584/6584	---M--	200	added ('OK')	text/html	date:Mon,%2019%20Nov%202012%2014:51:18%20GMT	http://www.stanford.edu/class/cs97si/	C:/My%20Websites/CS_97SI/www.stanford.edu/class/cs97si/index.html	(from )
22:51:21	5005/5005	---M--	200	added ('OK')	text/css	etag:%224db20010-138d-4b63a112776c0%22	http://www.stanford.edu/class/cs97si/jemdoc.css	C:/My%20Websites/CS_97SI/www.stanford.edu/class/cs97si/jemdoc.css	(from )
22:51:58	238122/238122	---M--	200	added ('OK')	application/pdf	etag:%224db2001e-3a22a-4b6e8923d4740%22	http://www.stanford.edu/class/cs97si/01-introduction.pdf	C:/My%20Websites/CS_97SI/www.stanford.edu/class/cs97si/01-introduction.pdf	(from )
22:52:04	278282/278282	---M--	200	added ('OK')	application/pdf	etag:%224db2000c-43f0a-4b6ee9315e540%22	http://www.stanford.edu/class/cs97si/02-mathematics.pdf	C:/My%20Websites/CS_97SI/www.stanford.edu/class/cs97si/02-mathematics.pdf	(from )
22:52:17	350358/350358	---M--	200	added ('OK')	application/pdf	etag:%224db2001c-55896-4b75f263ab380%22	http://www.stanford.edu/class/cs97si/04-dynamic-programming.pdf	C:/My%20Websites/CS_97SI/www.stanford.edu/class/cs97si/04-dynamic-programming.pdf	(from )
22:52:21	384837/384837	---M--	200	added ('OK')	application/pdf	etag:%224db20022-5df45-4b787292b1580%22	http://www.stanford.edu/class/cs97si/03-data-structures.pdf	C:/My%20Websites/CS_97SI/www.stanford.edu/class/cs97si/03-data-structures.pdf	(from )
22:52:46	294804/294804	---M--	200	added ('OK')	application/pdf	etag:%224db2000e-47f94-4b8a887405780%22	http://www.stanford.edu/class/cs97si/05-combinatorial-games.pdf	C:/My%20Websites/CS_97SI/www.stanford.edu/class/cs97si/05-combinatorial-games.pdf	(from )
22:52:54	227779/227779	---M--	200	added ('OK')	application/pdf	etag:%224db20054-379c3-4b93650929980%22	http://www.stanford.edu/class/cs97si/07-shortest-path-algorithms.pdf	C:/My%20Websites/CS_97SI/www.stanford.edu/class/cs97si/07-shortest-path-algorithms.pdf	(from )
22:53:03	369672/369672	---M--	200	added ('OK')	application/pdf	etag:%224db20052-5a408-4b9247a7fce00%22	http://www.stanford.edu/class/cs97si/06-basic-graph-algorithms.pdf	C:/My%20Websites/CS_97SI/www.stanford.edu/class/cs97si/06-basic-graph-algorithms.pdf	(from )
22:53:06	279612/279612	---M--	200	added ('OK')	application/pdf	etag:%224db2002c-4443c-4b99ac50e6640%22	http://www.stanford.edu/class/cs97si/08-network-flow-problems.pdf	C:/My%20Websites/CS_97SI/www.stanford.edu/class/cs97si/08-network-flow-problems.pdf	(from )
22:53:12	1800/1800	---M--	200	added ('OK')	text/html	date:Mon,%2019%20Nov%202012%2014:53:07%20GMT	http://www.stanford.edu/class/cs97si/assn1.html	C:/My%20Websites/CS_97SI/www.stanford.edu/class/cs97si/assn1.html	(from )
22:53:13	2186/2186	---M--	200	added ('OK')	text/html	date:Mon,%2019%20Nov%202012%2014:53:12%20GMT	http://www.stanford.edu/class/cs97si/assn2.html	C:/My%20Websites/CS_97SI/www.stanford.edu/class/cs97si/assn2.html	(from )
